ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,ids_artist,names_artist,monthly_listeners,popularity_artist,followers,genres,first_release,last_release,num_releases,playlists_found_artist
7exeQYwgHvD9pLJlFdXWhU,LONELY BOY,30,185,5uYXMC13cIUulobh204QuK,07/05/2021,213754,0.185,0.618,0.867,0,0.289,-5.333,0.0311,85.011,0.843,2,1,4,5uYXMC13cIUulobh204QuK,the mighty mighty bosstones,1302183,49,353293,"boston punk, boston rock, punk, ska, ska punk, skate punk",1989,2023,20,The Essential Ska
3qLbqJOTXA5CDNugzL1vs1,The Four Horsemen,35,185,5GLeyUhj8B8f5pJxqZllKl,01/03/2024,431045,2.13E-05,0.324,0.91,0.00653,0.146,-5.794,0.0361,103.148,0.338,9,1,4,5GLeyUhj8B8f5pJxqZllKl,doro,207903,43,188112,"german heavy metal, german metal, hard rock, hel, metal, power metal, speed metal",1989,2024,20,Heavy Metal
5IgjP7X4th6nMNDh4akUHb,Under The Influence,85,185,7bXgB6jMjp9ATFy66eO08Z,04/10/2019,184613,0.0186,0.755,0.562,0.000231,0.18,-8.947,0.0355,116.931,0.368,9,0,4,7bXgB6jMjp9ATFy66eO08Z,chris brown,49995725,85,21405187,"r&b, rap",2005,2024,20,Singled Out
4k4p12OtiVfV4jY8jAzsap,How to Love,65,184,31W5EY0aAly4Qieq6OFu6I,22/04/2024,111173,0.0222,0.667,0.57,6.47E-06,0.124,-8.401,0.0729,95.043,0.143,2,1,4,31W5EY0aAly4Qieq6OFu6I,a boogie wit da hoodie,18727041,79,8037503,"melodic rap, rap, trap",2016,2024,20,Singled Out
7oZ3BHE9ZzWS3DpjD9RBOl,PISS,65,185,5cj0lLjcoR7YOSnhnX0Po5,05/04/2024,155373,0.183,0.808,0.518,1.33E-06,0.0326,-8.328,0.456,139.037,0.515,1,0,4,5cj0lLjcoR7YOSnhnX0Po5,doja cat,63337750,87,29332746,"dance pop, pop",2018,2024,20,Pop Right Now
483fOSKLspJj5Lk7X7EKt8,TAKE TIME FOR MYSELF,39,185,6wFu8qYepLnl61GixCI5cu,27/03/2024,148994,0.635,0.871,0.454,4.32E-05,0.135,-9.758,0.482,145.965,0.682,6,1,4,6wFu8qYepLnl61GixCI5cu,chris patrick,234960,42,32586,"indie hip hop, new jersey underground rap",2020,2024,20,Fresh Finds Hip-Hop
6Upu6yjkdi0DVI8E3IBZEU,Don't Wanna Cry,67,185,7nqOGRxlXj7N2JYbgNEjYH,22/05/2017,203426,0.164,0.781,0.683,1.53E-06,0.16,-4.258,0.0325,100.005,0.722,0,1,4,7nqOGRxlXj7N2JYbgNEjYH,seventeen,6367185,76,11246705,"k-pop, k-pop boy group",2016,2024,20,Hallyu Boy Bands
7cPPeSxJ1VNAzUFH3Ms4Tm,TEXAS HOLD 'EM,72,183,6vWDO969PvNqNYHIOW5v0m,09/02/2024,233456,0.573,0.729,0.721,0,0.148,-6.558,0.0726,109.997,0.387,2,1,4,6vWDO969PvNqNYHIOW5v0m,beyoncé,76189616,91,36926610,"pop, r&b",2003,2024,20,EQUAL
0hFTdvxUbHl1CqrdZcbWtZ,Tummy Hurts,73,183,2hUYKu1x0UZQXvzCmggvSn,18/08/2023,168978,0.764,0.61,0.686,6.99E-06,0.117,-5.821,0.265,149.759,0.481,4,1,3,2hUYKu1x0UZQXvzCmggvSn,reneé rapp,8330682,71,797929,"alt z, singer-songwriter pop",2022,2024,8,Chill Pop
1p3b4nDHxGxm3K0nBuFrdR,All I Need,33,185,71Dhj822M1LGpuryPIV2KO,01/03/2024,150684,0.287,0.792,0.459,0.00555,0.224,-10.494,0.036,109.96,0.879,9,0,4,71Dhj822M1LGpuryPIV2KO,neimy,3426468,61,16379,"scandipop, tropical house",2020,2024,20,Heart Beats
54wWzjb8JrOl99lr1gtDEI,Lost My Shadow,34,185,5YiRgqaj5yVjVtUp4G6iUq,08/03/2024,187998,0.00237,0.452,0.879,0.673,0.104,-6.938,0.07,151.033,0.355,3,0,3,5YiRgqaj5yVjVtUp4G6iUq,ist ist,42634,30,12069,manchester indie,2017,2024,20,All New Punk
4uDV95QK5kIHC23bfcDpu1,Foliage,48,185,3PTjnqoKl6QVBWt7bSrhMz,06/10/2023,173112,0.991,0.452,0.0717,0.962,0.106,-27.649,0.0411,101.415,0.235,9,0,4,3PTjnqoKl6QVBWt7bSrhMz,charles weathersby,328733,42,1118,background piano,2019,2023,13,Piano in the Background
3VBNyssoLrTaLW1NAbibss,Plateau,11,185,2RaLhh25Ct5KABbL3J332E,24/01/2024,282073,0.00087,0.504,0.833,0.0871,0.14,-3.89,0.0382,132.036,0.76,2,1,4,2RaLhh25Ct5KABbL3J332E,hexmaze,1368,4,229,,2018,2024,4,Fresh Finds Rock 
5c549LWiKCWGvcDsZwMN6v,Soundgasm,64,140,46pWGuE3dSwY3bMMXGBvVS,10/06/2021,204755,0.119,0.805,0.525,0.00203,0.0779,-7.376,0.0638,100.033,0.693,6,0,4,46pWGuE3dSwY3bMMXGBvVS,rema,28256215,77,4256363,"afrobeats, nigerian pop",2022,2023,20,Daily Lift
4w2Furap0ZzaiK4J14E9sR,Think U The Shit (Fart),78,183,3LZZPxNDGDFVSIPqf4JuEf,26/01/2024,141639,0.0385,0.966,0.549,0.000264,0.0806,-6.647,0.206,122.105,0.316,9,1,4,3LZZPxNDGDFVSIPqf4JuEf,ice spice,18746257,71,3459514,bronx drill,2021,2024,19,Get Turnt
4zBdNhpcfF8Zfz6i3OEby0,PDA,26,185,3mhGKo6sIMtVoPUu3t9p16,26/04/2024,182727,0.395,0.653,0.811,1.69E-06,0.313,-5.485,0.371,87.501,0.53,2,0,4,3mhGKo6sIMtVoPUu3t9p16,devin malik,622618,49,1358,,2023,2024,3,Singled Out
4tl5Knezh7Qohx4TWgJFpP,Turning Onto You,34,184,21egYD1eInY6bGFcniCRT1,30/09/2022,201826,0.114,0.558,0.634,7.71E-05,0.0896,-5.629,0.0325,159.896,0.796,10,1,4,21egYD1eInY6bGFcniCRT1,first aid kit,2901924,59,1190817,"swedish americana, swedish country",2010,2023,20,Totally Stress Free
07zVQBJfbOuaAhpT3stRFL,Stay Soft,58,185,2uYWxilOVlUdk4oV9DvwqK,04/02/2022,196433,0.0404,0.602,0.678,0.00075,0.121,-8.656,0.0299,104.969,0.552,7,1,4,2uYWxilOVlUdk4oV9DvwqK,mitski,34275606,81,7552099,"brooklyn indie, pov: indie",2012,2024,12,Chill Pop
64VyLST8MmGb2x5ilwNm2l,In The Place,45,185,37PZXblQTqpEWGdjctNcGP,08/12/2023,230400,0.00435,0.294,0.996,0.375,0.135,-0.199,0.419,148.305,0.132,11,1,4,37PZXblQTqpEWGdjctNcGP,space laces,619446,50,97624,"brostep, dubstep, filthstep, gaming dubstep",2018,2024,20,Hype
5ZADutZI6cNNyeYcSAiGbb,Blinded by the light,47,185,4sVQyVPaGQ1MzslDmkf8nn,15/09/2023,175684,0.994,0.419,0.0643,0.917,0.109,-28.702,0.0436,99.353,0.0943,5,0,4,4sVQyVPaGQ1MzslDmkf8nn,yuko kimura,191251,38,112,,2022,2024,6,Instrumental Study
5yR9bGLr8Zz2EndMrthui1,君じゃない誰かの愛し方 (Ring),52,182,0ghlgldX5Dd6720Q3qFyQB,23/08/2022,204111,0.0166,0.446,0.737,0,0.42,-4.938,0.0581,129.35,0.496,7,1,5,0ghlgldX5Dd6720Q3qFyQB,tomorrow x together,9232834,79,9777230,"k-pop, k-pop boy group",2019,2024,20,K-Pop ON! (온)
2Jvl8m0bAt7bS76pLsMeJk,Drunken confession at night (Prod. 2soo),38,185,3GXxRsiCLmZvM5oSeHbNdO,11/06/2022,246491,0.704,0.459,0.443,2.18E-06,0.118,-7.051,0.0335,135.593,0.152,4,1,4,3GXxRsiCLmZvM5oSeHbNdO,lim jae hyun,123133,41,48340,"k-pop ballad, korean pop",2018,2024,18,v o K a l
1pyICTBf3mMbtiuZxGyEWi,Space,45,185,1lEiFY8tYuckyd67eGiaF1,29/04/2024,207097,0.0705,0.659,0.703,9.42E-06,0.131,-6.712,0.298,89.741,0.686,0,0,4,1lEiFY8tYuckyd67eGiaF1,kaiit,237205,37,107392,"alternative r&b, australian indigenous music, australian r&b",2017,2024,6,R&B Weekly
13gGKDBFKilZ6lFFjYhUmK,Chain Smokin,36,185,15ZjD8Gus20Miqw3fdOaXX,09/02/2024,127680,0.752,0.451,0.502,0,0.155,-13.064,0.536,94.323,0.407,0,1,4,15ZjD8Gus20Miqw3fdOaXX,stunna gambino,689745,47,111425,nyc rap,2019,2024,20,State of Mind
6ERs9uORCo1MfV0m9ixCuv,FREAK,71,183,22aCD8IrQZjcPgZw728QT6,23/04/2024,171080,0.0771,0.809,0.815,0,0.105,-3.517,0.0462,119.996,0.813,5,1,4,22aCD8IrQZjcPgZw728QT6,yuqi,3711259,61,522966,,2021,2024,8,Satang Mix (사탕 믹스)
2VOomzT6VavJOGBeySqaMc,Disturbia,79,184,5pKCCKE2ajJHZ9KAiaK11H,02/06/2008,238626,0.0861,0.707,0.814,0,0.168,-4.509,0.0577,124.921,0.717,11,0,4,5pKCCKE2ajJHZ9KAiaK11H,rihanna,87277313,90,59040280,"barbadian pop, pop, urban contemporary",2005,2022,20,Ultimate Party Classics
6z8QKwRlKLG81uKYMPnvcI,DIAMANTER,37,0,6eWjyO1r0QlvsIuIIcgGxI,22/03/2024,161250,0.183,0.851,0.589,0.439,0.169,-10.109,0.309,127.992,0.457,7,0,4,6eWjyO1r0QlvsIuIIcgGxI,c.gambino,1264722,64,84524,"swedish gangsta rap, swedish hip hop, swedish trap pop",2021,2024,20,100
21Z5allNDVFrsznZvpdIl0,Relief,47,185,6LwcYWG1molG0KW2xwnPd2,27/10/2023,158519,0.993,0.444,0.0515,0.948,0.109,-26.151,0.0381,125.01,0.195,3,1,4,6LwcYWG1molG0KW2xwnPd2,ever so blue,658133,53,11590,background piano,2019,2024,20,Perfect Concentration
7EpOXgSRgnglRWr86pZfGU,S91,72,183,790FomKkXshlbRYZFtlgla,14/07/2023,173005,0.627,0.863,0.724,2.61E-05,0.0887,-4.572,0.217,128.082,0.389,0,0,4,790FomKkXshlbRYZFtlgla,karol g,52336256,90,45476468,"reggaeton, reggaeton colombiano, trap latino, urbano latino",2017,2024,20,Daily Lift
0c1dC4GXVKdyU6AakBrYKw,La Trumpeta,51,184,0Dc2rdPzleezxhvQhQbXuS,08/03/2024,200042,0.0292,0.614,0.814,0.782,0.326,-6.115,0.0402,125.926,0.342,0,1,4,0Dc2rdPzleezxhvQhQbXuS,idris,1071472,55,132039,uk tech house,2014,2024,20,Housewerk
3Mc9WnQJxBDKBHpys9O1Bw,Alienated,71,183,5ZsFI1h6hIdQRw2ti0hz81,12/04/2024,247613,0.471,0.5,0.583,0,0.133,-6.534,0.0553,151.933,0.441,7,1,4,5ZsFI1h6hIdQRw2ti0hz81,zayn,27005784,76,22740197,"pop, uk pop",2016,2024,20,Chill Pop
1hh4GY1zM7SUAyM3a2ziH5,All My Best Friends Are Metalheads,58,184,20oQv3LStCKCjI9oQ0JNha,01/01/1998,211400,0.0755,0.582,0.91,1.03E-06,0.0992,-4.566,0.107,92.179,0.733,4,1,4,20oQv3LStCKCjI9oQ0JNha,less than jake,692088,49,371151,"modern ska punk, pop punk, punk, ska, ska punk, skate punk",1996,2022,20,The Essential Ska
